lead_id,created_date,branch,channel,country_interested,service_type,counselor,budget_range,follow_up_count,status,last_update_date,cycle_days
LD00206,2025-08-13,Kalabagan,Seminar/Event,USA,IELTS Preparation,Rafi,5-10 Lakh,3,Consultation Done,2025-08-26,13
LD00207,2025-03-29,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,2,Lost,2025-04-15,17
LD00208,2025-11-09,Uttara,Seminar/Event,UK,Study Abroad Consultation,Nusrat,10-20 Lakh,1,Contacted,2025-11-23,14
LD00209,2025-02-10,Chattogram,Walk-in,USA,IELTS Preparation,Rafi,10-20 Lakh,1,Lost,2025-02-28,18
LD00210,2025-07-23,Kalabagan,Facebook Ads,Germany,Study Abroad Consultation,Priya,20+ Lakh,3,Visa Approved,2025-12-17,147
LD00211,2026-01-15,Dhanmondi,Seminar/Event,Australia,Study Abroad Consultation,Shuvo,10-20 Lakh,1,Lost,2026-02-21,37
LD00212,2026-06-24,Kalabagan,Facebook Ads,USA,Visa Processing,Nusrat,5-10 Lakh,1,Contacted,2026-06-26,2
LD00213,2025-11-30,Kalabagan,Seminar/Event,USA,Language Course,Rafi,20+ Lakh,3,Enrolled,2026-01-12,43
LD00214,2025-03-05,Chattogram,Referral,UK,IELTS Preparation,Nusrat,<5 Lakh,2,Lost,2025-03-26,21
LD00215,2026-03-31,Dhanmondi,Facebook Ads,Australia,Study Abroad Consultation,Priya,5-10 Lakh,2,Visa Approved,2026-06-14,75
LD00216,2026-07-04,Chattogram,Referral,Germany,Study Abroad Consultation,Rafi,5-10 Lakh,6,Visa Approved,2026-07-31,30
LD00217,2025-06-07,Kalabagan,Facebook Ads,USA,Study Abroad Consultation,Mim,5-10 Lakh,2,Consultation Done,2025-06-13,6
LD00218,2025-03-22,Dhanmondi,Walk-in,Germany,Study Abroad Consultation,Tanvir,5-10 Lakh,2,Visa Approved,2025-06-17,87
LD00219,2025-03-20,Kalabagan,Google Ads,Canada,IELTS Preparation,Tanvir,5-10 Lakh,5,Enrolled,2025-04-22,33
LD00220,2026-06-27,Dhanmondi ,Facebook Ads,UK,Study Abroad Consultation,Mim,<5 Lakh,5,New,2026-07-08,11
LD00221,2026-07-15,Dhanmondi,Website Form,Australia,Visa Processing,Mim,5-10 Lakh,4,Enrolled,2026-07-31,25
LD00222,2025-05-20,Chattogram,Facebook Ads,Australia,Study Abroad Consultation,Priya,<5 Lakh,2,Contacted,2025-06-05,16
LD00223,2025-10-30,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Rafi,5-10 Lakh,4,Contacted,2025-11-01,2
LD00224,2025-07-01,Kalabagan,Google Ads,Germany,Study Abroad Consultation,Arafat,<5 Lakh,2,Contacted,2025-07-18,17
LD00225,2025-10-05,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Arafat,20+ Lakh,2,Consultation Done,2025-10-17,12
LD00226,2025-01-17,Kalabagan,Walk-in,Australia,Study Abroad Consultation,Mim,5-10 Lakh,5,Enrolled,2025-05-24,127
LD00227,2025-11-07,Kalabagan,Facebook Ads,Australia,IELTS Preparation,Rafi,<5 Lakh,5,New,2025-11-24,17
LD00228,2026-05-21,Dhanmondi,Seminar/Event,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,1,Lost,2026-06-24,34
LD00229,2026-05-23,Chattogram,Google Ads,Australia,IELTS Preparation,Tanvir,5-10 Lakh,3,Enrolled,2026-06-28,36
LD00230,2026-07-25,Kalabagan,Website Form,Canada,IELTS Preparation,Tanvir,5-10 Lakh,4,Contacted,2026-07-25,0
LD00231,2025-08-05,Uttara,Website Form,Germany,Language Course,Mim,,7,Application Submitted,2025-09-28,54
LD00232,2025-12-05,Kalabagan,Website Form,USA,IELTS Preparation,Tanvir,10-20 Lakh,2,Consultation Done,2025-12-12,7
LD00233,2025-12-19,Kalabagan,Seminar/Event,USA,Language Course,Shuvo,20+ Lakh,4,Contacted,2025-12-31,12
LD00234,2026-05-16,Uttara,Facebook Ads,UK,Visa Processing,Arafat,<5 Lakh,0,Lost,2026-06-14,29
LD00235,2025-12-17,Dhanmondi,Facebook Ads,Canada,Visa Processing,Nusrat,5-10 Lakh,3,Consultation Done,2025-12-20,3
LD00236,2025-03-07,Kalabagan,Referral,Canada,IELTS Preparation,Arafat,20+ Lakh,5,Consultation Done,2025-03-16,9
LD00237,2025-05-10,Chattogram,Facebook Ads,Canada,Study Abroad Consultation,Tanvir,5-10 Lakh,4,Consultation Done,2025-05-22,12
LD00238,2025-08-20,Uttara,Referral,USA,Study Abroad Consultation,Mim,5-10 Lakh,2,Consultation Done,2025-09-05,16
LD00239,2026-01-28,Kalabagan,Referral,UK,Language Course,Tanvir,<5 Lakh,1,Enrolled,2026-03-18,49
LD00240,2025-05-11,Chattogram,Referral,USA,Study Abroad Consultation,Tanvir,5-10 Lakh,5,Lost,2025-05-21,10
LD00241,2025-03-24,Kalabagan,Seminar/Event,Australia,Study Abroad Consultation,Nusrat,,2,Contacted,2025-04-05,12
LD00242,2025-06-09,Kalabagan,Website Form,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,2,Application Submitted,2025-07-27,48
LD00243,2026-01-24,Kalabagan,Facebook Ads,Germany,Visa Processing,Arafat,10-20 Lakh,2,Application Submitted,2026-02-22,29
LD00244,2025-11-28,Kalabagan,Website Form,Germany,Study Abroad Consultation,Arafat,5-10 Lakh,1,Application Submitted,2026-02-28,92
LD00245,2025-12-09,Sylhet,Referral,Canada,Study Abroad Consultation,Tanvir,,2,Visa Approved,2026-03-14,95
LD00246,2025-01-28,Kalabagan,Referral,USA,Study Abroad Consultation,Rafi,5-10 Lakh,10,Contacted,2025-01-31,3
LD00247,2025-03-27,Chattogram,Website Form,Malaysia,Study Abroad Consultation,Mim,10-20 Lakh,5,New,2025-04-05,9
LD00248,2026-02-22,Kalabagan,Website Form,Australia,Study Abroad Consultation,Rafi,5-10 Lakh,3,Lost,2026-04-06,43
LD00249,2025-08-03,Kalabagan,Facebook Ads,Malaysia,Study Abroad Consultation,Tanvir,20+ Lakh,1,Lost,2025-09-20,48
LD00250,2025-02-03,Dhanmondi,Walk-in,Malaysia,Language Course,Tanvir,10-20 Lakh,3,Consultation Done,2025-02-16,13
LD00251,2025-08-30,Uttara,Seminar/Event,Malaysia,Study Abroad Consultation,Nusrat,5-10 Lakh,3,Enrolled,2025-09-27,28
LD00252,2025-11-20,Uttara,Facebook Ads,UK,Study Abroad Consultation,Rafi,<5 Lakh,0,Application Submitted,2026-01-16,57
LD00253,2026-06-24,Kalabagan,Referral,UK,Study Abroad Consultation,Mim,5-10 Lakh,5,Visa Approved,2026-07-31,89
LD00254,2026-02-21,Sylhet,Referral,Canada,IELTS Preparation,Priya,5-10 Lakh,3,Lost,2026-03-18,25
LD00255,2025-10-24,Dhanmondi,Seminar/Event,Australia,IELTS Preparation,Shuvo,10-20 Lakh,2,Application Submitted,2026-03-02,129
LD00256,2025-08-14,Uttara,Walk-in,UK,Study Abroad Consultation,Priya,10-20 Lakh,4,Lost,2025-08-16,2
LD00257,2025-04-05,Kalabagan,Seminar/Event,Canada,Study Abroad Consultation,Rafi,20+ Lakh,0,Lost,2025-04-27,22
LD00258,2026-02-18,Sylhet,Facebook Ads,Malaysia,Visa Processing,Priya,5-10 Lakh,2,Consultation Done,2026-03-08,18
LD00259,2026-05-18,Kalabagan,Facebook Ads,Germany,IELTS Preparation,Rafi,5-10 Lakh,6,Lost,2026-07-05,48
LD00260,2026-05-14,Uttara,Referral,Australia,Study Abroad Consultation,Mim,10-20 Lakh,3,Consultation Done,2026-05-18,4
LD00261,2026-04-01,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Enrolled,2026-07-31,140
LD00262,2025-04-17,Chattogram,Facebook Ads,UK,Visa Processing,Priya,5-10 Lakh,3,Consultation Done,2025-04-22,5
LD00263,2025-07-15,Kalabagan,Walk-in,UK,Study Abroad Consultation,Tanvir,<5 Lakh,2,Enrolled,2025-10-22,99
LD00264,2026-07-04,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Shuvo,10-20 Lakh,1,New,2026-07-13,9
LD00265,2025-03-19,Sylhet,Seminar/Event,Malaysia,Study Abroad Consultation,Mim,<5 Lakh,2,Enrolled,2025-07-26,129
LD00266,2025-09-19,Uttara,Website Form,UK,Study Abroad Consultation,Mim,5-10 Lakh,1,New,2025-09-22,3
LD00267,2025-09-02,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Mim,10-20 Lakh,1,Lost,2025-09-28,26
LD00268,2026-06-04,Dhanmondi,Referral,Germany,Study Abroad Consultation,Nusrat,10-20 Lakh,2,Consultation Done,2026-06-11,7
LD00269,2025-10-25,Kalabagan,Seminar/Event,Canada,Study Abroad Consultation,Priya,<5 Lakh,4,Lost,2025-11-23,29
LD00270,2025-09-16,Sylhet,Google Ads,Germany,Language Course,Priya,<5 Lakh,3,Consultation Done,2025-09-30,14
LD00271,2025-12-13,Kalabagan,Facebook Ads,Canada,IELTS Preparation,Tanvir,5-10 Lakh,2,Lost,2025-12-31,18
LD00272,2026-02-25,Uttara,Referral,UK,Study Abroad Consultation,Mim,10-20 Lakh,2,Application Submitted,2026-03-25,28
LD00273,2025-09-11,Dhanmondi,Referral,Canada,Visa Processing,Tanvir,<5 Lakh,7,Lost,2025-09-30,19
LD00274,2025-06-04,Uttara,Seminar/Event,USA,Visa Processing,Tanvir,20+ Lakh,2,Consultation Done,2025-06-11,7
LD00275,2025-03-23,Uttara,Facebook Ads,Australia,Visa Processing,Mim,10-20 Lakh,3,Lost,2025-04-23,31
LD00276,2025-10-01,Uttara,Google Ads,UK,Study Abroad Consultation,Tanvir,5-10 Lakh,1,New,2025-10-09,8
LD00277,2026-01-03,Chattogram,Google Ads,Australia,Study Abroad Consultation,Nusrat,<5 Lakh,6,Contacted,2026-01-09,6
LD00278,2025-12-19,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Mim,10-20 Lakh,1,Enrolled,2026-05-07,139
LD00279,2026-07-27,Chattogram,Facebook Ads,Australia,Study Abroad Consultation,Mim,20+ Lakh,1,Lost,2026-07-31,5
LD00280,2026-04-10,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Priya,10-20 Lakh,2,New,2026-04-14,4
LD00281,2025-05-28,Kalabagan,Facebook Ads,Canada,Study Abroad Consultation,Shuvo,<5 Lakh,4,New,2025-06-06,9
LD00282,2026-02-26,Uttara,Website Form,Australia,IELTS Preparation,Shuvo,10-20 Lakh,3,New,2026-03-13,15
LD00283,2025-06-11,Kalabagan,Referral,Germany,Study Abroad Consultation,Nusrat,<5 Lakh,5,Lost,2025-08-05,55
LD00284,2026-01-31,Chattogram,Website Form,Malaysia,Study Abroad Consultation,Rafi,10-20 Lakh,1,Lost,2026-03-20,48
LD00285,2026-07-12,Uttara,Referral,UK,Visa Processing,Rafi,<5 Lakh,4,Enrolled,2026-07-31,41
LD00286,2025-02-13,Uttara,Referral,Australia,IELTS Preparation,Priya,10-20 Lakh,2,Enrolled,2025-05-02,78
LD00287,2025-01-09,Uttara,Website Form,UK,Visa Processing,Shuvo,<5 Lakh,7,Enrolled,2025-05-14,125
LD00288,2025-04-27,Chattogram,Seminar/Event,UK,Language Course,Tanvir,5-10 Lakh,2,Enrolled,2025-05-21,24
LD00289,2025-01-11,Dhanmondi,Facebook Ads,USA,Language Course,Rafi,10-20 Lakh,4,New,2025-01-20,9
LD00290,2026-05-30,Uttara,Walk-in,UK,Study Abroad Consultation,Arafat,20+ Lakh,2,Lost,2026-07-08,39
LD00291,2026-05-22,Uttara,Facebook Ads,Australia,Study Abroad Consultation,Rafi,10-20 Lakh,2,Contacted,2026-05-27,5
LD00292,2025-05-10,Kalabagan,Facebook Ads,USA,IELTS Preparation,Mim,10-20 Lakh,4,New,2025-05-14,4
LD00293,2025-10-21,Kalabagan ,Google Ads,Australia,Visa Processing,Rafi,5-10 Lakh,3,New,2025-11-02,12
LD00294,2025-05-29,Kalabagan,Referral,Canada,Study Abroad Consultation,mim,<5 Lakh,2,Enrolled,2025-09-03,97
LD00295,2026-04-09,Chattogram,Google Ads,Australia,IELTS Preparation,Arafat,10-20 Lakh,2,Enrolled,2026-05-31,52
LD00296,2025-07-01,Uttara,Google Ads,Canada,IELTS Preparation,Priya,10-20 Lakh,5,New,2025-07-01,0
LD00297,2025-07-26,Sylhet,Facebook Ads,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,4,Enrolled,2025-12-14,141
LD00298,2025-10-13,Chattogram,Seminar/Event,Canada,IELTS Preparation,Arafat,<5 Lakh,3,Application Submitted,2026-02-11,121
LD00299,2026-03-06,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Rafi,10-20 Lakh,1,Lost,2026-04-21,46
LD00300,2025-12-23,Uttara,Facebook Ads,USA,Study Abroad Consultation,Priya,5-10 Lakh,2,Lost,2026-01-27,35
LD00301,2026-07-19,Kalabagan,Google Ads,USA,Visa Processing,Nusrat,10-20 Lakh,4,Contacted,2026-07-31,12
LD00302,2026-01-12,Dhanmondi,Website Form,UK,Study Abroad Consultation,Arafat,<5 Lakh,3,New,2026-01-12,0
LD00303,2025-10-02,Kalabagan,Walk-in,UK,IELTS Preparation,Shuvo,10-20 Lakh,1,Consultation Done,2025-10-21,19
LD00304,2025-05-20,Dhanmondi,Website Form,UK,IELTS Preparation,Arafat,5-10 Lakh,3,Consultation Done,2025-05-31,11
LD00305,2026-01-27,Chattogram,Website Form,Malaysia,IELTS Preparation,Shuvo,10-20 Lakh,5,New,2026-02-04,8
LD00306,2025-05-02,Kalabagan,Google Ads,Australia,Language Course,Shuvo,10-20 Lakh,3,Enrolled,2025-09-27,148
LD00307,2025-02-12,Uttara,Google Ads,Canada,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Contacted,2025-03-02,18
LD00308,2026-06-03,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,2,Lost,2026-06-30,27
LD00309,2025-11-12,Kalabagan,Google Ads,UK,Study Abroad Consultation,Nusrat,20+ Lakh,3,Consultation Done,2025-11-21,9
LD00310,2025-03-14,Chattogram,Facebook Ads,Australia,Study Abroad Consultation,Tanvir,20+ Lakh,1,Contacted,2025-03-27,13
LD00311,2026-02-04,Kalabagan,Google Ads,UK,Study Abroad Consultation,Nusrat,10-20 Lakh,1,Visa Approved,2026-06-05,121
LD00312,2026-05-19,Dhanmondi,Seminar/Event,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,5,Lost,2026-06-15,27
LD00313,2026-05-27,Sylhet,Google Ads,Canada,Study Abroad Consultation,Priya,<5 Lakh,1,Lost,2026-06-22,26
LD00314,2025-04-07,Dhanmondi,Seminar/Event,Australia,Study Abroad Consultation,Priya,5-10 Lakh,2,Lost,2025-04-28,21
LD00315,2026-03-19,Chattogram,Facebook Ads,Australia,Study Abroad Consultation,Tanvir,5-10 Lakh,5,Enrolled,2026-05-19,61
LD00316,2025-03-17,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Mim,10-20 Lakh,2,Contacted,2025-03-25,8
LD00317,2025-10-01,Sylhet ,Facebook Ads,Malaysia,Study Abroad Consultation,Tanvir,5-10 Lakh,4,New,2025-10-11,10
LD00318,2026-02-13,Uttara ,Facebook Ads,UK,Study Abroad Consultation,Mim,5-10 Lakh,7,New,2026-02-14,1
LD00319,2026-03-11,Sylhet,Google Ads,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,4,Lost,2026-04-08,28
LD00320,2026-04-15,Uttara,Referral,Australia,IELTS Preparation,Arafat,20+ Lakh,1,Enrolled,2026-07-07,83
LD00321,2025-07-26,Kalabagan,Walk-in,USA,Study Abroad Consultation,Priya,5-10 Lakh,4,Application Submitted,2025-10-31,97
LD00322,2026-03-03,Kalabagan,Facebook Ads,UK,Visa Processing,Mim,5-10 Lakh,3,New,2026-03-11,8
LD00323,2025-02-12,Kalabagan,Facebook Ads,Malaysia,Study Abroad Consultation,Priya,10-20 Lakh,0,Lost,2025-04-01,48
LD00324,2025-10-19,Dhanmondi,Facebook Ads,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Contacted,2025-10-27,8
LD00325,2026-05-27,Kalabagan,Referral,Australia,Study Abroad Consultation,Tanvir,10-20 Lakh,3,New,2026-06-15,19
LD00326,2025-06-11,Uttara,Facebook Ads,Australia,Visa Processing,Shuvo,5-10 Lakh,2,Contacted,2025-06-26,15
LD00327,2025-09-20,Kalabagan,Google Ads,Canada,Language Course,Nusrat,5-10 Lakh,6,Lost,2025-10-24,34
LD00328,2026-05-22,Uttara,Walk-in,Canada,IELTS Preparation,Arafat,10-20 Lakh,2,Consultation Done,2026-06-03,12
LD00329,2025-08-09,Dhanmondi,Seminar/Event,Australia,Visa Processing,Rafi,5-10 Lakh,5,New,2025-08-27,18
LD00330,2025-05-17,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Mim,<5 Lakh,0,Lost,2025-06-01,15
LD00331,2025-11-27,Kalabagan,Google Ads,Germany,IELTS Preparation,Shuvo,5-10 Lakh,5,Lost,2026-01-14,48
LD00332,2025-04-03,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,2,Enrolled,2025-08-11,130
LD00333,2025-07-15,Dhanmondi,Website Form,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,4,Lost,2025-07-20,5
LD00334,2025-04-28,Uttara,Referral,Australia,Study Abroad Consultation,shuvo,,5,Lost,2025-06-22,55
LD00335,2025-02-09,Uttara,Referral,UK,Visa Processing,Rafi,<5 Lakh,3,Application Submitted,2025-04-21,71
LD00336,2025-05-22,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Mim,<5 Lakh,4,Enrolled,2025-08-20,90
LD00337,2025-09-07,Sylhet,Referral,Australia,Study Abroad Consultation,Nusrat,5-10 Lakh,3,Consultation Done,2025-09-19,12
LD00338,2025-05-09,Dhanmondi,Facebook Ads,Australia,Study Abroad Consultation,Tanvir,20+ Lakh,4,Lost,2025-05-13,4
LD00339,2025-03-09,Dhanmondi,Walk-in,Australia,Visa Processing,Arafat,10-20 Lakh,2,Lost,2025-04-22,44
LD00340,2026-04-21,Uttara,Website Form,UK,IELTS Preparation,Priya,20+ Lakh,4,Lost,2026-06-05,45
LD00341,2025-05-30,Dhanmondi,Facebook Ads,Canada,Study Abroad Consultation,Mim,20+ Lakh,3,Lost,2025-06-21,22
LD00342,2026-05-19,Kalabagan,Website Form,Australia,IELTS Preparation,Mim,20+ Lakh,5,New,2026-05-25,6
LD00343,2025-07-24,Kalabagan,Referral,Canada,Study Abroad Consultation,Rafi,20+ Lakh,2,Lost,2025-08-12,19
LD00344,2026-02-27,Kalabagan,Walk-in,Australia,Visa Processing,Arafat,<5 Lakh,0,Visa Approved,2026-03-20,21
LD00345,2025-11-14,Kalabagan,Walk-in,UK,Visa Processing,Tanvir,<5 Lakh,5,Lost,2025-11-22,8
LD00346,2026-05-23,Chattogram,Referral,UK,Study Abroad Consultation,Priya,5-10 Lakh,1,Enrolled,2026-06-29,37
LD00347,2026-06-03,Kalabagan,Seminar/Event,Germany,Study Abroad Consultation,Mim,5-10 Lakh,1,Visa Approved,2026-07-31,81
LD00348,2025-02-28,Uttara,Google Ads,UK,Study Abroad Consultation,Tanvir,<5 Lakh,6,Enrolled,2025-04-10,41
LD00349,2026-07-15,Kalabagan,Facebook Ads,Canada,IELTS Preparation,Tanvir,5-10 Lakh,1,Contacted,2026-07-28,13
LD00350,2025-02-05,Chattogram,Referral,Canada,Study Abroad Consultation,Mim,10-20 Lakh,3,Enrolled,2025-03-18,41
LD00351,2025-03-22,Sylhet,Website Form,Germany,Visa Processing,Mim,5-10 Lakh,4,Contacted,2025-04-10,19
LD00352,2026-07-23,Chattogram,Referral,Canada,IELTS Preparation,Priya,5-10 Lakh,6,Enrolled,2026-07-31,59
LD00353,2025-11-01,Kalabagan,Walk-in,Malaysia,Study Abroad Consultation,Tanvir,<5 Lakh,2,Application Submitted,2026-02-17,108
LD00354,2025-07-18,Uttara,Google Ads,UK,IELTS Preparation,Priya,<5 Lakh,1,Consultation Done,2025-08-04,17
LD00355,2025-05-31,Kalabagan,Facebook Ads,Canada,IELTS Preparation,Priya,10-20 Lakh,4,Contacted,2025-06-16,16
LD00356,2025-06-21,Dhanmondi,Facebook Ads,Germany,IELTS Preparation,Mim,10-20 Lakh,6,Enrolled,2025-10-02,103
LD00357,2025-09-04,Uttara,Website Form,Germany,Study Abroad Consultation,Arafat,<5 Lakh,1,Contacted,2025-09-14,10
LD00358,2026-01-28,Chattogram,Facebook Ads,USA,IELTS Preparation,Arafat,<5 Lakh,2,Lost,2026-02-09,12
LD00359,2026-04-21,Uttara,Google Ads,Canada,Study Abroad Consultation,Arafat,5-10 Lakh,1,New,2026-05-03,12
LD00360,2025-08-10,Uttara,Facebook Ads,UK,Visa Processing,Arafat,,2,Lost,2025-08-26,16
LD00361,2025-01-26,Uttara,Referral,USA,Study Abroad Consultation,Tanvir,20+ Lakh,6,Lost,2025-02-14,19
LD00362,2025-09-03,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Tanvir,,5,Lost,2025-10-21,48
LD00363,2026-05-31,Sylhet,Referral,UK,IELTS Preparation,Nusrat,<5 Lakh,1,Enrolled,2026-06-20,20
LD00364,2025-03-03,Chattogram,Facebook Ads,Australia,Study Abroad Consultation,Tanvir,<5 Lakh,3,Lost,2025-04-10,38
LD00365,2026-03-14,Kalabagan,Google Ads,Canada,Visa Processing,Rafi,20+ Lakh,3,Lost,2026-05-08,55
LD00366,2026-01-18,Kalabagan,Seminar/Event,Canada,Study Abroad Consultation,Mim,<5 Lakh,2,Contacted,2026-01-23,5
LD00367,2025-04-02,Kalabagan,Referral,Canada,Study Abroad Consultation,Shuvo,<5 Lakh,2,Enrolled,2025-07-09,98
LD00368,2025-11-25,Dhanmondi,Facebook Ads,Germany,Study Abroad Consultation,Rafi,20+ Lakh,4,Consultation Done,2025-11-28,3
LD00369,2026-03-05,Sylhet,Referral,Australia,IELTS Preparation,Rafi,5-10 Lakh,5,Enrolled,2026-05-03,59
LD00370,2025-07-21,Kalabagan,Google Ads,Australia,Study Abroad Consultation,Nusrat,5-10 Lakh,1,New,2025-08-08,18
LD00371,2025-11-24,Kalabagan,Facebook Ads,Australia,Visa Processing,Arafat,5-10 Lakh,5,Lost,2025-12-30,36
LD00372,2025-07-06,Dhanmondi,Facebook Ads,Canada,IELTS Preparation,Tanvir,10-20 Lakh,1,Contacted,2025-07-14,8
LD00373,2025-10-16,Uttara,Facebook Ads,Germany,Visa Processing,Mim,5-10 Lakh,1,Contacted,2025-10-21,5
LD00374,2026-02-13,Dhanmondi,Referral,UK,Study Abroad Consultation,rafi,10-20 Lakh,1,Application Submitted,2026-06-20,127
LD00375,2025-07-17,Chattogram,Facebook Ads,Canada,Study Abroad Consultation,Priya,<5 Lakh,1,Application Submitted,2025-10-09,84
LD00376,2025-06-01,Uttara,Website Form,USA,Study Abroad Consultation,Nusrat,<5 Lakh,1,Lost,2025-07-08,37
LD00377,2026-02-27,Uttara,Facebook Ads,UK,Visa Processing,Shuvo,10-20 Lakh,2,Enrolled,2026-04-22,54
LD00378,2025-11-01,Kalabagan,Website Form,Australia,Visa Processing,Arafat,10-20 Lakh,4,Lost,2025-12-08,37
LD00379,2025-10-29,Kalabagan,Referral,Canada,Study Abroad Consultation,Tanvir,<5 Lakh,4,Consultation Done,2025-11-01,3
LD00380,2026-03-08,Chattogram,Facebook Ads,Germany,Study Abroad Consultation,Priya,10-20 Lakh,4,Consultation Done,2026-03-09,1
LD00381,2026-01-05,Kalabagan,Website Form,Malaysia,Study Abroad Consultation,Rafi,<5 Lakh,1,Enrolled,2026-04-20,105
LD00382,2026-05-27,Kalabagan,Seminar/Event,Canada,Study Abroad Consultation,Shuvo,10-20 Lakh,5,Consultation Done,2026-06-13,17
LD00383,2025-07-28,Kalabagan,Facebook Ads,Malaysia,Language Course,Shuvo,20+ Lakh,0,Lost,2025-08-15,18
LD00384,2026-03-14,Kalabagan,Referral,UK,Study Abroad Consultation,Shuvo,20+ Lakh,4,Lost,2026-03-19,5
LD00385,2025-04-01,Kalabagan,Referral,UK,Study Abroad Consultation,Arafat,10-20 Lakh,2,Consultation Done,2025-04-04,3
LD00386,2025-09-25,Chattogram,Website Form,Germany,Study Abroad Consultation,Priya,10-20 Lakh,1,Contacted,2025-10-11,16
LD00387,2025-11-25,Uttara,Referral,USA,IELTS Preparation,Tanvir,5-10 Lakh,3,Lost,2026-01-13,49
LD00388,2025-10-23,Uttara,Website Form,Canada,Study Abroad Consultation,Tanvir,5-10 Lakh,4,Application Submitted,2025-12-24,62
LD00389,2025-08-13,Kalabagan,Google Ads,Australia,Study Abroad Consultation,Shuvo,<5 Lakh,3,Lost,2025-10-08,56
LD00390,2025-07-11,Chattogram,Seminar/Event,UK,Study Abroad Consultation,Arafat,20+ Lakh,1,Visa Approved,2025-11-09,121
LD00391,2025-09-14,Kalabagan,Referral,UK,IELTS Preparation,Mim,10-20 Lakh,4,Enrolled,2025-12-19,96
LD00392,2026-01-02,Kalabagan,Google Ads,Australia,Study Abroad Consultation,Rafi,5-10 Lakh,4,Enrolled,2026-04-23,111
LD00393,2026-07-08,Sylhet,Referral,Australia,Visa Processing,Rafi,,3,Enrolled,2026-07-31,42
LD00394,2026-04-25,Uttara,Website Form,Australia,IELTS Preparation,Shuvo,<5 Lakh,3,Application Submitted,2026-06-18,54
LD00395,2025-05-20,Uttara,Facebook Ads,USA,Study Abroad Consultation,Tanvir,5-10 Lakh,4,New,2025-06-06,17
LD00396,2025-06-28,Kalabagan,Google Ads,Australia,Visa Processing,Nusrat,5-10 Lakh,2,Lost,2025-08-08,41
LD00397,2026-03-21,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Contacted,2026-04-07,17
LD00398,2025-01-09,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Tanvir,10-20 Lakh,1,Consultation Done,2025-01-21,12
LD00399,2025-07-28,Kalabagan,Walk-in,Australia,Study Abroad Consultation,Tanvir,10-20 Lakh,3,Consultation Done,2025-08-16,19
LD00400,2025-10-06,Sylhet,Referral,Canada,IELTS Preparation,Arafat,10-20 Lakh,2,Lost,2025-11-24,49
LD00401,2025-12-22,Chattogram,Website Form,Germany,IELTS Preparation,Shuvo,10-20 Lakh,0,New,2026-01-05,14
LD00402,2025-02-03,Sylhet,Seminar/Event,Germany,Study Abroad Consultation,Shuvo,10-20 Lakh,2,New,2025-02-20,17
LD00403,2025-06-08,Sylhet,Website Form,Germany,Study Abroad Consultation,Rafi,<5 Lakh,2,Consultation Done,2025-06-23,15
LD00404,2025-11-01,Kalabagan,Referral,Canada,Study Abroad Consultation,Rafi,<5 Lakh,0,Enrolled,2026-03-10,129
LD00405,2025-03-04,Dhanmondi,Google Ads,UK,Study Abroad Consultation,Arafat,,3,Consultation Done,2025-03-05,1
LD00406,2025-01-29,Uttara,Referral,Canada,Study Abroad Consultation,Rafi,<5 Lakh,0,Lost,2025-03-21,51
LD00407,2025-10-27,Kalabagan,Google Ads,USA,Study Abroad Consultation,Mim,<5 Lakh,4,Lost,2025-10-29,2
LD00408,2026-01-03,Chattogram,Website Form,Canada,Language Course,Nusrat,<5 Lakh,2,Lost,2026-03-02,58
LD00409,2025-02-12,Uttara,Facebook Ads,Germany,Study Abroad Consultation,Priya,,3,Lost,2025-03-15,31
LD00410,2025-05-22,Kalabagan,Walk-in,USA,Study Abroad Consultation,Nusrat,<5 Lakh,2,Lost,2025-06-11,20
